incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,0.115150,0.425757,0.910000,0.090000,17.212500,0.910000,0.616838,0.900000
2.000000,0.137882,0.507360,0.820000,0.170000,32.812500,0.820000,0.556369,1.700000
3.000000,0.142052,0.486953,0.640000,0.230000,45.281250,0.640000,0.429948,2.300000
4.000000,0.142744,0.486953,0.640000,0.230000,45.281250,0.640000,0.429948,2.300000
5.000000,0.145415,0.468115,0.550000,0.260000,49.987500,0.550000,0.368162,2.600000
6.000000,0.140280,0.506132,0.370000,0.290000,54.675000,0.370000,0.249222,2.900000
7.000000,0.114637,0.512034,0.280000,0.240000,46.893750,0.280000,0.191849,2.400000
8.000000,0.114666,0.512034,0.280000,0.240000,46.893750,0.280000,0.191849,2.400000
9.000000,0.073614,0.406614,0.190000,0.180000,31.256250,0.190000,0.126441,1.800000
10.000000,0.074030,0.406614,0.190000,0.180000,31.256250,0.190000,0.126441,1.800000
