incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,0.120798,0.523358,0.910000,0.090000,16.875000,0.910000,0.000000,0.900000
2.000000,0.153722,0.590790,0.820000,0.170000,31.875000,0.820000,0.000000,1.700000
3.000000,0.167611,0.587982,0.640000,0.230000,43.125000,0.640000,0.000000,2.300000
4.000000,0.168100,0.587982,0.640000,0.230000,43.125000,0.640000,0.000000,2.300000
5.000000,0.175968,0.598746,0.550000,0.260000,48.750000,0.550000,0.000000,2.600000
6.000000,0.174059,0.590147,0.370000,0.290000,54.375000,0.370000,0.000000,2.900000
7.000000,0.137113,0.581996,0.280000,0.240000,45.000000,0.280000,0.000000,2.400000
8.000000,0.137122,0.581996,0.280000,0.240000,45.000000,0.280000,0.000000,2.400000
9.000000,0.098597,0.587616,0.190000,0.180000,33.750000,0.190000,0.000000,1.800000
10.000000,0.098609,0.587616,0.190000,0.180000,33.750000,0.190000,0.000000,1.800000
