incomplete_micro_slots,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
1.000000,9.434156,0.000000,1.000000,1.000000,0.000000,0.900000,0.900000,0.000000
2.000000,9.428633,0.000000,1.000000,0.500000,0.000000,0.900000,0.900000,0.000000
3.000000,9.370767,0.000000,1.000000,0.333333,0.000000,0.900000,0.900000,0.000000
4.000000,9.390278,0.000000,1.000000,0.250000,0.000000,0.900000,0.900000,0.000000
5.000000,9.413956,0.000000,1.000000,0.200000,0.000000,0.900000,0.900000,0.000000
6.000000,9.376356,0.000000,1.000000,0.166667,0.000000,0.900000,0.900000,0.000000
7.000000,9.378122,0.000000,1.000000,0.142857,0.000000,0.900000,0.900000,0.000000
8.000000,9.404511,0.000000,1.000000,0.125000,0.000000,0.900000,0.900000,0.000000
9.000000,9.477867,0.000000,1.000000,0.111111,0.000000,0.900000,0.900000,0.000000
10.000000,9.472011,0.000000,1.000000,0.100000,0.000000,0.900000,0.900000,0.000000
