num_fog_nodes,aggregation_latency_ms,recovery_latency_ms,aggregation_completeness,loss_exposure_fraction,communication_overhead_KB,system_availability,queue_utilization,recovery_frequency
5.000000,38.096720,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
10.000000,19.244160,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
15.000000,12.851193,0.000000,0.999888,0.769444,0.000000,1.000000,0.967419,0.000000
20.000000,9.407035,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
25.000000,7.464764,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
30.000000,6.344617,0.000000,0.999548,0.688889,0.000000,1.000000,0.939394,0.000000
35.000000,5.597686,0.001840,0.999914,0.880952,0.000000,1.000000,0.957393,5.000000
40.000000,4.973872,0.000000,1.000000,0.695833,0.000000,1.000000,0.900000,0.000000
45.000000,4.243002,0.000000,0.998878,0.685185,0.000000,1.000000,0.929293,0.000000
50.000000,3.831594,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000
